,Mkt-RF,SMB,HML,RF
20160408,0.29,0.02,0.68,0
20160411,-0.28,-0.1,0.95,0
20160412,0.99,-0.07,0.85,0
20160413,1.23,0.84,0.36,0
20160414,0.03,-0.28,0.18,0
20160415,-0.04,0.33,-0.33,0
20160418,0.65,0.09,-0.19,0
20160419,0.29,-0.36,1.48,0
20160420,0.15,-0.1,0.54,0
20160421,-0.47,0.11,-0.59,0
20160422,0.12,0.82,0.49,0
20160425,-0.24,-0.58,-0.18,0
20160426,0.29,0.66,0.78,0
20160427,0.21,0.09,0.68,0
20160428,-0.96,-0.16,0.05,0
20160429,-0.5,-0.14,0.38,0
20160502,0.78,-0.01,-0.36,0.001
20160503,-1.05,-0.66,-0.5,0.001
20160504,-0.66,-0.15,0.06,0.001
20160505,-0.08,-0.5,0.09,0.001
20160506,0.38,0.05,0.24,0.001
20160509,0.04,0.36,-1.48,0.001
20160510,1.26,-0.4,0.47,0.001
20160511,-0.89,-0.36,0.78,0.001
20160512,-0.11,-0.6,0.14,0.001
20160513,-0.82,0.38,-0.66,0.001
20160516,0.99,0.28,-0.24,0.001
20160517,-0.95,-0.78,0.61,0.001
20160518,0.1,0.11,0.84,0.001
20160519,-0.33,-0.32,-0.29,0.001
20160520,0.75,0.9,-0.29,0.001
20160523,-0.19,0.26,-0.32,0.001
20160524,1.43,0.69,-0.34,0.001
20160525,0.72,-0.21,0.58,0.001
20160526,-0.04,-0.09,-0.51,0.001
20160527,0.49,0.33,-0.22,0.001
20160531,-0.01,0.51,-0.36,0.001
20160601,0.2,0.65,-0.25,0.001
20160602,0.35,0.32,-0.59,0.001
20160603,-0.38,-0.13,-0.09,0.001
20160606,0.6,0.68,0.32,0.001
20160607,0.12,0.19,0.11,0.001
20160608,0.37,0.45,-0.12,0.001
20160609,-0.27,-0.4,-0.22,0.001
20160610,-1.05,-0.35,-0.18,0.001
20160613,-0.83,-0.36,0.1,0.001
20160614,-0.19,0.27,-0.71,0.001
20160615,-0.11,0.25,-0.05,0.001
20160616,0.24,-0.34,-0.4,0.001
20160617,-0.3,-0.1,0.94,0.001
20160620,0.71,0.61,-0.01,0.001
20160621,0.21,-0.62,0.5,0.001
20160622,-0.2,-0.31,0.08,0.001
20160623,1.45,0.5,0.43,0.001
20160624,-3.7,0.14,-1.14,0.001
20160627,-2.07,-0.95,-0.67,0.001
20160628,1.76,-0.39,0.15,0.001
20160629,1.8,0.27,-0.06,0.001
20160630,1.42,0.35,0.45,0.001
20160701,0.24,0.53,-0.41,0.001
20160705,-0.85,-0.63,-1.37,0.001
20160706,0.62,0.17,-0.13,0.001
20160707,0.02,0.35,-0.2,0.001
20160708,1.6,0.89,0.35,0.001
20160711,0.43,0.61,0.26,0.001
20160712,0.75,0.62,1,0.001
20160713,-0.05,-0.53,0.51,0.001
20160714,0.51,-0.45,0.45,0.001
20160715,-0.05,0.3,0.01,0.001
20160718,0.25,-0.02,-0.12,0.001
20160719,-0.22,-0.62,0.04,0.001
20160720,0.48,0.45,-0.87,0.001
20160721,-0.38,-0.05,-0.02,0.001
20160722,0.48,0.23,-0.08,0.001
20160725,-0.27,-0.02,-0.24,0.001
20160726,0.13,0.58,0.54,0.001
20160727,-0.14,0.59,-0.44,0.001
20160728,0.18,-0.42,-0.35,0.001
20160729,0.17,-0.03,0.03,0.001
20160801,-0.16,0.18,-0.87,0.001
20160802,-0.7,-0.58,0.17,0.001
20160803,0.45,0.46,0.83,0.001
20160804,0.05,0.09,-0.33,0.001
20160805,0.93,0.43,0.87,0.001
20160808,-0.06,0.02,0.57,0.001
20160809,0.05,-0.01,-0.31,0.001
20160810,-0.29,-0.44,-0.13,0.001
20160811,0.54,0.14,0.04,0.001
20160812,-0.06,0.08,-0.18,0.001
20160815,0.39,0.73,0.4,0.001
20160816,-0.57,-0.27,0.6,0.001
20160817,0.12,-0.55,0.25,0.001
20160818,0.32,0.45,0.37,0.001
20160819,-0.11,0.12,-0.12,0.001
20160822,-0.02,0.26,-0.41,0.001
20160823,0.27,0.56,-0.01,0.001
20160824,-0.56,-0.47,0.4,0.001
20160825,-0.08,0.2,0.49,0.001
20160826,-0.15,0.15,-0.13,0.001
20160829,0.53,-0.07,0.35,0.001
20160830,-0.14,0.1,0.31,0.001
20160831,-0.24,-0.39,0.14,0.001
20160901,0.03,0.12,-0.49,0.001
20160902,0.53,0.39,0.36,0.001
